year,host_city,country,continent,season
1896, Athens, Greece,Europe,Summer
1900, Paris, France,Europe,Summer
1904, St. Louis, United States,North America,Summer
1908, London, United Kingdom,Europe,Summer
1912, Stockholm, Sweden,Europe,Summer
1920, Antwerp, Belgium,Europe,Summer
1924, Paris, France,Europe,Summer
1928, Amsterdam, Netherlands,Europe,Summer
1932, Los Angeles, United States,North America,Summer
1936, Berlin, Germany,Europe,Summer
1948, London, United Kingdom,Europe,Summer
1952, Helsinki, Finland,Europe,Summer
1956, Melbourne, Australia,Oceania,Summer
1960, Rome, Italy,Europe,Summer
1964, Tokyo, Japan,Asia,Summer
1968, Mexico City, Mexico,Central America,Summer
1972, Munich, West Germany,Europe,Summer
1976, Montreal, Canada,North America,Summer
1980, Moscow, Soviet Union,Europe,Summer
1984, Los Angeles, United States,North America,Summer
1988, Seoul, South Korea,Asia,Summer
1992, Barcelona, Spain,Europe,Summer
1996, Atlanta, United States,North America,Summer
2000, Sydney, Australia,Oceania,Summer
2004, Athens, Greece,Europe,Summer
2008, Beijing, China,Asia,Summer
2012, London, United Kingdom,Europe,Summer
2016, Rio de Janeiro, Brazil,South America,Summer
1924, Chamonix, France,Europe,Winter
1928, St. Moritz, Switzerland,Europe,Winter
1932, Lake Placid, United States,North America,Winter
1936, Garmisch-Partenkirchen, Germany,Europe,Winter
1948, St. Moritz, Switzerland,Europe,Winter
1952, Oslo, Norway,Europe,Winter
1956, Cortina d’Ampezzo, Italy,Europe,Winter
1960, Squaw Valley, United States,North America,Winter
1964, Innsbruck, Austria,Europe,Winter
1968, Grenoble, France,Europe,Winter
1972, Sapporo, Japan,Asia,Winter
1976, Innsbruck, Austria,Europe,Winter
1980, Lake Placid, United States,North America,Winter
1984, Sarajevo, Yugoslavia,Europe,Winter
1988, Calgary, Canada,North America,Winter
1992, Albertville, France,Europe,Winter
1994, Lillehammer, Norway,Europe,Winter
1998, Nagano, Japan,Asia,Winter
2002, Salt Lake City, United States,North America,Winter
2006, Turin, Italy,Europe,Winter
2010, Vancouver, Canada,North America,Winter
2014, Sochi, Russia,Europe,Winter